"p","d","q","AICc","BIC"
3,1,2,2228.01215228388,2242.90911407071
2,1,3,2228.57378266773,2243.47074445455
0,1,2,2228.71015916089,2237.58904926217
2,1,2,2228.84904276987,2241.80619713846
1,1,0,2229.12792877933,2235.87373093508
3,1,3,2230.46066961977,2247.22738371154
0,1,3,2230.99496362413,2241.94517442424
1,1,2,2230.99513473878,2241.9453455389
3,1,0,2231.15299414497,2242.10320494508
2,1,0,2231.34147440581,2240.22036450709
1,1,1,2231.34584881479,2240.22473891606
1,1,3,2232.48320051999,2245.44035488858
2,1,1,2233.19420549239,2244.14441629251
3,1,1,2233.50289217739,2246.46004654598
0,1,1,2233.61496933126,2240.360771487
0,1,0,2246.56435845972,2251.1177761131
