"p","d","q","P","D","Q","AICc","BIC"
0,1,2,1,0,1,2216.05576080217,2227.00597160229
2,1,2,1,0,1,2216.9633846312,2231.86034641802
1,1,0,1,0,1,2217.24868515817,2226.12757525945
0,1,2,1,0,0,2217.75167846999,2226.63056857127
1,1,2,1,0,1,2218.19449928285,2231.15165365144
1,1,0,1,0,0,2218.47915608839,2225.22495824413
0,1,1,1,0,1,2219.38988834724,2228.26877844852
2,1,0,1,0,1,2219.49799078054,2230.44820158065
1,1,1,1,0,1,2219.51877204669,2230.46898284681
2,1,2,1,0,0,2219.72925606509,2232.68641043368
1,1,2,1,0,0,2220.01886384311,2230.96907464323
2,1,0,1,0,0,2220.68532870987,2229.56421881114
1,1,1,1,0,0,2220.69388185891,2229.57277196019
2,1,1,1,0,1,2220.76220471905,2233.71935908763
0,1,2,0,0,1,2221.13784615243,2230.01673625371
1,1,0,0,0,1,2221.50821651838,2228.25401867412
0,1,1,1,0,0,2221.51641352756,2228.26221568331
2,1,1,1,0,0,2222.25010473667,2233.20031553679
2,1,2,0,0,1,2222.7962372873,2235.75339165589
1,1,2,0,0,1,2223.42305763726,2234.37326843738
2,1,0,0,0,1,2223.71656121823,2232.59545131951
1,1,1,0,0,1,2223.7233299106,2232.60222001187
0,1,1,0,0,1,2225.34310878435,2232.0889109401
2,1,1,0,0,1,2225.43768203168,2236.38789283179
0,1,0,1,0,1,2226.47026469716,2233.21606685291
2,1,2,0,0,0,2226.7000062964,2237.65021709651
0,1,2,0,0,0,2226.70552822495,2233.4513303807
1,1,0,0,0,0,2227.20220889932,2231.7556265527
1,1,2,0,0,0,2228.92910641984,2237.80799652112
2,1,0,0,0,0,2229.36014002437,2236.10594218012
1,1,1,0,0,0,2229.3629289491,2236.10873110485
0,1,0,1,0,0,2229.92097005671,2234.47438771009
2,1,1,0,0,0,2231.11648782697,2239.99537792825
0,1,1,0,0,0,2231.66778352693,2236.22120118031
0,1,0,0,0,1,2236.15376060057,2240.70717825395
0,1,0,0,0,0,2244.5267533493,2246.83083059704
