"p","d","q","AICc","BIC"
2,1,3,2230.80042222314,2245.69738400997
1,1,0,2231.24955222976,2237.99535438551
0,1,2,2231.40716573763,2240.28605583891
2,1,2,2231.93883068431,2244.8959850529
3,1,3,2232.85661821462,2249.6233323064
2,1,0,2233.44365261758,2242.32254271886
1,1,1,2233.45555747442,2242.3344475757
0,1,3,2233.67409417468,2244.6243049748
1,1,2,2233.67774513029,2244.62795593041
3,1,0,2233.86087588631,2244.81108668642
1,1,3,2235.28499772227,2248.24215209086
0,1,1,2235.34971225254,2242.09551440829
2,1,1,2235.35312381255,2246.30333461267
3,1,1,2236.18298453427,2249.14013890286
3,1,2,2237.11592101147,2252.0128827983
0,1,0,2248.22871948106,2252.78213713444
