"spec","AICc","BIC","RMSE_Ratio","RMSE","MAE","MAPE","MASE","LB_pvalue","ACF_Out_Lags","Valid"
"ETS(A,N,N)",2384.25563852275,2391.04398208015,0.799,308998.83,237475.17,4.06,0.264,0.012,1,FALSE
"ETS(A,A,N)",2390.48303476102,2401.50835621514,1.69,660671.1,568509.37,9.62,0.631,0.0196,2,FALSE
"ETS(A,Ad,N)",2389.60010561656,2402.6501260647,0.99,379210.94,270938.51,4.7,0.301,0.0171,2,FALSE
"ETS(A,N,A)",2366.5433471635,2394.46601733146,0.868,246122.91,178009.69,2.9,0.198,0.1281,2,TRUE
"ETS(A,A,A)",2372.676635109,2402.9244617157,1.4,396442.56,333061.39,5.58,0.37,0.2117,1,FALSE
"ETS(A,Ad,A)",2371.99560619656,2403.24566754097,0.87,239976.37,174001.4,2.84,0.193,0.4021,1,TRUE
"ETS(M,N,M)",2418.37287007048,2446.29554023844,0.987,346936.71,266935.7,4.4,0.296,1e-04,3,FALSE
"ETS(M,A,M)",2402.65810889146,2432.90593549815,1.182,361965.24,278873.04,4.58,0.31,0.0285,2,FALSE
"ETS(M,Ad,M)",2398.77811698546,2430.02817832987,1.16,338445.9,244335.17,4.02,0.271,0.0253,2,FALSE
"ETS(A,A,A)+BC",4794.42922082546,4824.67704743216,1.349,404167.21,339969.1,5.75,0.378,0.3027,1,FALSE
