"train_size","model","MAPE","RMSE","MASE"
63,"SNAIVE",21.3659103991441,1207621.01453798,1.38230267795532
63,"ARIMA",10.0748904040241,616139.927419314,0.666006795472752
63,"SARIMA",4.29369876456013,266255.809356487,0.278854433368921
63,"ETS",7.57485270104496,491646.789441198,0.500785699205613
63,"BATS",2.57985641475345,191506.269566335,0.169230613013582
67,"SNAIVE",16.366850020159,978877.842915465,1.05249790946392
67,"ARIMA",4.84630661936939,360412.002454768,0.322993295392728
67,"SARIMA",4.18133642648389,281326.25704771,0.27559247714898
67,"ETS",8.01486964517602,517062.991419932,0.523912040832939
67,"BATS",4.35366499481995,300874.232634206,0.286525921492223
71,"SNAIVE",11.1665697742844,718684.808327916,0.711146918847463
71,"ARIMA",4.05873464079345,289354.100404443,0.26492336306254
71,"SARIMA",3.85343140315093,271442.131522734,0.242569291884256
71,"ETS",3.50561848600406,263277.314890008,0.231308157143639
71,"BATS",2.32623901822004,149741.588453096,0.149282938718992
75,"SNAIVE",7.5388501946839,512278.886725206,0.499860489306508
75,"ARIMA",6.04884330924069,438235.354553586,0.406371530729164
75,"SARIMA",3.37767667580224,234665.567887393,0.221429693083025
75,"ETS",4.14536954243092,302937.023446106,0.277655172858225
75,"BATS",2.75674556172703,209760.727884493,0.183860090943528
79,"SNAIVE",5.21782985440499,396503.940427351,0.358139962945827
79,"ARIMA",4.49325652624043,354581.550521507,0.289325157907976
79,"SARIMA",4.71088393767788,317058.032275943,0.309743217530497
79,"ETS",2.8982525340771,246122.905074758,0.197720490491651
79,"BATS",3.30194130352373,226856.17827943,0.21862288565217
