"p","d","q","P","D","Q","AICc","BIC"
0,1,2,1,0,1,2215.55608939785,2226.50630019797
0,1,2,1,0,0,2215.58413725455,2224.46302735583
1,1,0,1,0,1,2216.14381561041,2225.02270571169
1,1,0,1,0,0,2216.56367872365,2223.30948087939
1,1,2,1,0,1,2217.6694742042,2230.62662857279
1,1,2,1,0,0,2217.79849120965,2228.74870200976
2,1,2,1,0,0,2217.80862987656,2230.76578424515
0,1,1,1,0,1,2218.07635522151,2226.95524532279
2,1,0,1,0,1,2218.42544996075,2229.37566076087
1,1,1,1,0,1,2218.42760681836,2229.37781761847
2,1,0,1,0,0,2218.70057073602,2227.5794608373
1,1,1,1,0,0,2218.74606404085,2227.62495414212
0,1,1,1,0,0,2219.41347653394,2226.15927868969
2,1,1,1,0,1,2219.55039468299,2232.50754905158
2,1,1,1,0,0,2219.84600930146,2230.79622010157
2,1,2,1,0,1,2219.96131775592,2234.85827954275
0,1,2,0,0,1,2220.81032971136,2229.68921981264
1,1,0,0,0,1,2221.14163209896,2227.8874342547
2,1,2,0,0,1,2222.65369489625,2235.61084926483
1,1,2,0,0,1,2223.07638178661,2234.02659258673
2,1,0,0,0,1,2223.32053918419,2232.19942928547
1,1,1,0,0,1,2223.34092434855,2232.21981444983
0,1,0,1,0,1,2224.16503095801,2230.91083311375
2,1,1,0,0,1,2224.82802318274,2235.77823398285
0,1,1,0,0,1,2224.84789305997,2231.59369521571
0,1,0,1,0,0,2226.11563376058,2230.66905141396
1,1,0,0,0,0,2229.31540120646,2233.86881885984
0,1,2,0,0,0,2229.40372400487,2236.14952616062
2,1,2,0,0,0,2229.74790077006,2240.69811157018
2,1,0,0,0,0,2231.4566316414,2238.20243379715
1,1,1,0,0,0,2231.46598451413,2238.21178666987
1,1,2,0,0,0,2231.60948147104,2240.48837157231
2,1,1,0,0,0,2233.26801033815,2242.14690043943
0,1,1,0,0,0,2233.398305841,2237.95172349438
0,1,0,0,0,1,2234.52459372837,2239.07801138175
0,1,0,0,0,0,2246.1896421779,2248.49371942564
